unit_id,connection_type,technology,tier,rsp,state_or_territory,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
2535429,NBN,Fibre to the Node,25/5 Mbps,TPG,QLD,FALSE,FALSE,DCEExxxxxx,26.47,25.07,26.58,26.45,25.07,26.58,4.71,4.63,4.76,4.71,4.67,4.74,7.69,7.61,8.57,7.73,7.62,8.57,0.3
21279237,NBN,Fibre to the Node,25/10 Mbps,Aussie Broadband,NSW,FALSE,FALSE,F692xxxxxx,27.21,26.83,27.67,27.2,26.83,27.67,9.48,8.81,9.53,9.49,9.44,9.52,19.05,15.45,29.19,19.36,15.53,29.19,5.43
1188359,NBN,Fibre to the Premises,50/20 Mbps,Optus,NSW,FALSE,FALSE,D084xxxxxx,54.48,51.96,55.4,54.41,51.97,55.24,18.8,18.43,18.83,18.79,18.62,18.82,5.61,3.51,27.07,5.4,3.52,9.42,0.07
1029385,NBN,Fibre to the Node,50/20 Mbps,TPG,NSW,FALSE,FALSE,A004xxxxxx,53.05,31.66,53.64,53.15,49.89,53.64,18.85,18.1,18.96,18.85,18.77,18.9,5.77,5.58,15.03,6.02,5.58,10.67,0.1
22865929,NBN very high speed services,HFC,500-990/50 Mbps,,NSW,FALSE,FALSE,A491xxxxxx,904.38,520.77,941.47,885.09,619.06,941.13,37,7.26,47.45,30.16,7.26,47.36,9.87,8.22,27.68,10.48,9.04,15.26,0.33
2975243,NBN,Fibre to the Premises,250/25 Mbps,Optus,QLD,FALSE,FALSE,D06Exxxxxx,272.43,225.25,275.5,272.65,266.09,273.93,23.44,21.93,24.31,23.48,22.94,24.09,13.46,13.1,19.66,13.53,13.11,15.26,0.37
1561611,NBN_FW,Fixed Wireless,Fixed Wireless Plus,,VIC,FALSE,FALSE,E263xxxxxx,60.48,6.05,83.07,54.41,23.73,81.29,7.64,2.72,10.54,6.62,3.76,8.94,33.64,28.14,115.14,32.93,28.14,46.74,2.33
1028878,NBN,Fibre to the Node,25/5 Mbps,Optus,NSW,FALSE,FALSE,10D7xxxxxx,27.04,15.72,27.91,27.06,25.86,27.91,4.46,3.55,4.63,4.47,4.28,4.56,9.27,9.1,13.06,9.32,9.1,13.06,0.03
4991249,NBN,Fibre to the Node,50/20 Mbps,iiNet,NSW,FALSE,FALSE,A491xxxxxx,50.36,43.28,53.82,50.41,43.28,53.82,16.81,16.24,17.17,16.8,16.38,17.09,15.84,15.56,62.37,15.75,15.57,17.22,0
24329745,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,WA,FALSE,FALSE,E063xxxxxx,909.7,709.62,936.21,896.44,770.8,932.76,47.22,44.41,47.47,47.13,46,47.42,2.19,2,8.78,2.26,2.13,3.3,2.57
31032081,NBN,HFC,50/20 Mbps,TPG,QLD,FALSE,FALSE,98DAxxxxxx,53.46,35.3,54.4,53.38,43.75,54.31,18.76,18.35,18.98,18.77,18.4,18.84,9.53,9.25,11.81,9.7,9.41,11.81,0.13
24028689,NBN,Fibre to the Node,50/20 Mbps,Vodafone,QLD,FALSE,FALSE,A491xxxxxx,52.78,36.39,54.02,52.27,37.32,53.95,18.94,0.98,19.02,18.91,18.28,19,9.51,6.89,45.87,9.69,6.92,19.03,0.07
2211091,NBN,Fibre to the Node,50/20 Mbps,Optus,VIC,TRUE,TRUE,7C39xxxxxx,29.25,27.83,31.26,29.39,27.83,31.26,7.77,6.13,8.99,7.78,7.02,8.99,12.45,11.27,25.12,12.47,11.32,14.32,0
6986261,NBN,HFC,50/20 Mbps,Aussie Broadband,VIC,FALSE,FALSE,F8CAxxxxxx,53.81,48.53,54.46,53.75,48.53,54.46,18.34,16.42,18.62,18.39,18.14,18.56,9.31,8.73,15.06,9.74,9.25,15.06,0.07
6986517,NBN,HFC,50/20 Mbps,Aussie Broadband,NT + SA,FALSE,FALSE,008Cxxxxxx,53.23,37.87,54.43,52.68,37.87,54.43,18.35,17.05,18.53,18.3,17.25,18.48,18.25,17.87,26.15,18.96,18.12,26.15,0.1
40518681,NBN,HFC,250/25 Mbps,Telstra,VIC,FALSE,FALSE,6805xxxxxx,267.73,137.56,273.06,264.14,137.56,273.06,21.97,19.03,22.96,21.73,19.9,22.88,10.25,8.78,35.28,10.41,9.25,11.34,0
42617369,NBN,HFC,50/20 Mbps,Exetel,QLD,FALSE,FALSE,5078xxxxxx,54.28,53.87,54.58,54.28,53.87,54.58,18.87,18.48,18.96,18.86,18.76,18.9,9.43,8.59,15.37,9.63,8.75,15.37,1.17
23487001,NBN,HFC,100/40 Mbps,Optus,QLD,FALSE,FALSE,A491xxxxxx,107.02,83.54,109.1,106.32,83.82,109.1,37.73,0.23,38.29,37.85,37.3,38.29,27.6,22.58,32.74,27.86,24.32,32.48,0.07
31032089,NBN,Fibre to the Node,50/20 Mbps,iiNet,ACT,FALSE,FALSE,A491xxxxxx,52.14,29.13,53.99,50.81,29.13,53.89,18.59,11.19,19.05,18.63,18.24,18.84,9.75,9.13,23.38,10.71,9.17,19.26,0.1
38966553,NBN,Fibre to the Node,100/40 Mbps,Superloop,QLD,FALSE,FALSE,1013xxxxxx,95.79,82.05,100.5,95.99,88.52,100.48,34.42,29.5,38.13,34.18,30.16,37.94,13.02,5.43,25.91,13.4,5.56,20.64,0.47
1028890,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,TAS,TRUE,TRUE,F8CAxxxxxx,25.41,17.93,26.26,25.69,24.16,26.26,4.22,2.77,5.45,4.1,2.98,5.39,17.04,16.03,22.25,17.21,16.2,20.32,0.07
2219291,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,NSW,FALSE,FALSE,CCF4xxxxxx,850.34,357.34,913.98,809.34,357.34,904.12,43.41,38.56,47.45,43.66,40.33,47.41,3.66,3.03,11.55,4,3.13,9.52,0.2
4719133,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,VIC,FALSE,FALSE,74DAxxxxxx,51.94,35.34,54.65,51.22,42.81,54.03,15.74,14.81,16.03,15.66,14.81,15.97,6.41,5.64,22.52,7.71,5.89,12.97,0.1
4803357,NBN,Fibre to the Node,50/20 Mbps,Optus,ACT,FALSE,FALSE,346Bxxxxxx,54.26,28.51,55.4,54.14,46.19,55.32,19,18.03,19.3,19.02,18.44,19.28,15.42,10.33,21.62,15.62,10.41,21.62,0
54368797,NBN,Fibre to the Premises,50/20 Mbps,Other RSPs,VIC,FALSE,FALSE,BC30xxxxxx,54.09,48.3,54.82,54.05,49.65,54.82,17.96,16.21,18.22,17.88,17.04,18.16,2.28,1.6,3.81,2.6,1.9,3.81,0.12
6986525,NBN,HFC,100/40 Mbps,Telstra,NSW,FALSE,FALSE,A491xxxxxx,101.83,86.65,102.22,101.79,99.87,102.22,37.95,37.89,38.02,37.95,37.89,38.02,4.65,4.32,5.07,4.67,4.34,4.94,0
55105309,NBN,Fibre to the Curb,25/5 Mbps,Telstra,NT + SA,FALSE,FALSE,D435xxxxxx,26.96,20.57,27.53,27.03,23.52,27.53,4.55,3.84,4.78,4.53,4.22,4.75,15.42,13.11,22.81,15.77,13.13,20.41,0.03
2219293,NBN,Fibre to the Premises,100/20 Mbps,Aussie Broadband,NSW,FALSE,FALSE,DCEFxxxxxx,91.69,73.78,94.21,88.02,77.1,94.09,18.87,13.27,19.01,18.9,18.71,18.98,3.37,3.01,13.34,3.89,3.12,13.34,0.07
5106717,NBN,Fibre to the Node,50/20 Mbps,iiNet,NSW,TRUE,FALSE,A491xxxxxx,40.9,30.55,45.02,41.06,32.39,44.97,8.64,7.44,9.4,8.59,7.77,9.24,16.81,15.8,36.26,16.98,15.83,19.39,0
36896541,NBN,Fibre to the Node,25/5 Mbps,Dodo & iPrimus,QLD,FALSE,FALSE,D46Bxxxxxx,25.85,12.37,26.71,25.14,13.86,26.71,4.7,3,4.76,4.7,4.66,4.76,8.81,8.35,18.31,10.7,8.45,18.31,0.07
1028894,NBN,Fibre to the Node,50/20 Mbps,Telstra,NSW,FALSE,FALSE,F46Bxxxxxx,50.05,34.41,51.61,49.49,34.41,51.61,13.1,11.24,13.24,13.1,12.99,13.18,19.57,16.86,22.03,19.55,17.03,21.96,0
2535455,NBN,Fibre to the Node,100/40 Mbps,iiNet,ACT,FALSE,FALSE,989Bxxxxxx,95.54,70.37,97.71,95.34,80.92,97.54,35.35,33.82,35.87,35.24,33.82,35.81,8.55,8.43,11.62,8.71,8.45,11.62,1.07
2219295,NBN,Fibre to the Premises,100/20 Mbps,Telstra,ACT,FALSE,FALSE,B0E4xxxxxx,95.98,46.07,104.59,96.6,72.1,103.38,18.13,12.2,19,18.04,12.98,18.97,7.5,6.07,9.18,7.59,6.1,9.18,0.1
55971361,NBN,Fibre to the Node,50/20 Mbps,Optus,QLD,FALSE,FALSE,1006xxxxxx,53.22,29.14,55.47,53.16,37.05,54.65,18.93,16.73,19.24,18.87,17.77,19.22,6.84,6.66,8.77,6.92,6.66,7.92,0
29630497,NBN,HFC,250/25 Mbps,Optus,NSW,FALSE,FALSE,ECBExxxxxx,271.25,217.68,274.97,269.89,233.48,273.69,21.95,3.64,23.96,23.28,20.99,23.87,11.11,9.04,23.4,11.07,9.5,13.75,0.83
3880993,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,QLD,FALSE,FALSE,C4EAxxxxxx,52.17,37.05,54.7,51.73,37.05,54.7,18.86,11.63,19.02,18.8,17.73,19.01,12.55,12.07,32.92,13.03,12.21,32.92,0.1
24329761,NBN,Fibre to the Premises,100/40 Mbps,Superloop,NT + SA,FALSE,FALSE,7683xxxxxx,102.38,20.53,106.82,97.71,20.53,106.82,36.06,20.32,36.64,35.31,29.81,36.58,11.58,10.45,65.53,18.79,10.7,65.53,0.03
40518689,NBN,Fibre to the Node,50/20 Mbps,iiNet,WA,FALSE,FALSE,E0B9xxxxxx,53.57,38.12,53.94,53.07,38.12,53.9,18.97,18.64,19.1,18.96,18.87,19.02,5.73,5.33,13.04,6.07,5.47,13.04,0
23116321,NBN,Fibre to the Premises,25/10 Mbps,Superloop,ACT,FALSE,FALSE,98DAxxxxxx,25.05,19.49,26.02,24.97,23.23,25.72,9.29,8.29,9.53,9.32,8.79,9.49,8.47,6.81,74.06,14.92,6.81,74.06,0
1231649,NBN,Fibre to the Premises,100/40 Mbps,Optus,NSW,FALSE,FALSE,247Fxxxxxx,108.97,93.75,110.59,108.35,93.75,109.31,37.61,37.01,38.29,37.6,37.22,37.83,5.41,3.53,26.78,5.26,3.53,6.4,0
1194531,NBN,Fibre to the Node,50/20 Mbps,Telstra,VIC,FALSE,FALSE,BC30xxxxxx,45.68,29.94,48.08,44.52,29.94,48.06,18.15,14.83,18.44,18.02,16.19,18.44,9.07,8.07,17.2,9.33,8.11,11.98,0
45887781,NBN,Fibre to the Node,50/20 Mbps,Telstra,NT + SA,FALSE,FALSE,F8ABxxxxxx,51.72,42.94,55.11,51.36,42.94,55.11,18.09,16.2,18.58,18.08,17.61,18.51,16.4,14.07,20.52,16.68,14.1,19.48,0.07
4080933,NBN,Fibre to the Node,50/20 Mbps,Dodo & iPrimus,NSW,FALSE,FALSE,C814xxxxxx,46.75,29.39,47.86,46.32,33.33,47.86,18.4,17.08,19.04,18.4,17.14,19,17.3,15.23,35.81,19.56,15.3,31.16,0.3
48464421,NBN_FW,Fixed Wireless,Fixed Wireless Plus,,VIC,FALSE,FALSE,3431xxxxxx,47.28,17.09,71.89,40.63,21.63,59.05,7.18,2.71,9.57,5.88,3.43,7.5,43.09,34.23,52.4,43.54,36.5,48.27,0
50570789,NBN,HFC,50/20 Mbps,TPG,NSW,FALSE,FALSE,68FFxxxxxx,52.45,44.03,53.74,52.2,47.51,53.74,18.62,8.21,19.11,18.72,18.21,19.11,8.51,7.86,12.61,8.73,8.24,10.56,0.04
2211109,NBN,Fibre to the Premises,50/20 Mbps,Optus,NT + SA,FALSE,FALSE,204Exxxxxx,54.35,42.38,54.68,54.32,50.05,54.61,18.86,17.84,18.93,18.84,17.84,18.9,26.79,24.73,28.84,26.85,26.55,28.84,0.03
1028902,NBN_FW,Fixed Wireless,Fixed Wireless Plus,,NSW,FALSE,FALSE,D435xxxxxx,46.43,10.61,66.49,37.28,10.61,60.23,4.47,1.17,7.25,3,1.64,4.38,35.89,33.1,50.15,35.83,34.37,43.32,0.27
1188391,NBN,Fibre to the Node,100/20 Mbps,Telstra,VIC,FALSE,FALSE,20B0xxxxxx,93.87,73.13,94.19,93.56,73.13,93.95,18.06,13.18,18.64,18.15,17.91,18.64,8.31,7.5,14.62,8.55,7.55,12.67,0.8
2211111,NBN,Fibre to the Premises,50/20 Mbps,Aussie Broadband,ACT,FALSE,FALSE,4CEDxxxxxx,53.23,34.81,54.73,52.71,34.81,54.73,18.76,12.72,19.01,18.77,14.65,19,8.88,8.28,69.95,10.37,8.36,46.68,0
24454697,NBN,HFC,50/20 Mbps,Telstra,VIC,FALSE,FALSE,D435xxxxxx,53.55,3.9,54.96,52.99,39.37,54.85,18.13,13.66,18.47,18.09,15.61,18.38,9.26,8.42,44.88,10.43,8.75,17.88,0.1
1194537,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,NSW,TRUE,FALSE,20B0xxxxxx,38.59,35.23,39.02,38.52,35.65,39.01,8.56,7.36,9.79,8.49,7.72,9.71,9.27,6.85,15.51,9.59,6.86,14.82,0.1
39357225,NBN,HFC,50/20 Mbps,Vodafone,QLD,FALSE,FALSE,20B0xxxxxx,53.53,39.79,54.04,53.38,41.57,53.96,18.96,18.3,19.22,18.95,18.77,19.02,10.2,9.88,39.02,10.49,10.01,13.31,0
6986281,NBN,Fibre to the Node,75/20 Mbps,Aussie Broadband,NSW,FALSE,FALSE,AC84xxxxxx,74.71,69.07,75.76,74.46,72.28,75.62,18.91,17,19.01,18.81,18.54,18.98,6.14,5.83,13.59,6.92,5.98,13.59,0.1
23116329,NBN,Fibre to the Curb,50/20 Mbps,Optus,NSW,FALSE,FALSE,0C9Dxxxxxx,52.95,6.34,54.61,52.94,34.91,54.61,18.8,17.2,18.92,18.77,18.12,18.89,13.9,10.51,52.24,14.08,10.54,29.13,0.17
54645289,NBN,HFC,25/5 Mbps,Dodo & iPrimus,VIC,FALSE,FALSE,5CB1xxxxxx,26.41,18.43,26.77,26.37,23.51,26.77,4.56,2.23,4.67,4.58,4.32,4.66,9.29,8.27,16.52,10.24,8.75,16.52,0.03
4991277,NBN,HFC,250/25 Mbps,Optus,VIC,FALSE,FALSE,8020xxxxxx,271.47,146.56,275.23,268.21,146.56,273.34,22.61,13.41,23.04,22.67,22.4,23.03,10.76,10.02,13.64,10.78,10.31,13.08,0.33
55458349,NBN,HFC,50/20 Mbps,Optus,VIC,FALSE,FALSE,6C19xxxxxx,53.78,33.02,54.61,52.87,33.02,54.4,18.03,4.82,18.45,18.22,16.39,18.4,8.9,7.39,102.69,12.07,7.65,86.86,0.07
42617389,NBN,HFC,100/40 Mbps,Optus,VIC,FALSE,FALSE,10D7xxxxxx,108.51,94.48,110.18,106.57,94.48,110.18,35.88,21.12,36.63,35.63,35.04,36.21,9.08,8.35,12.54,9.68,8.98,11.97,0
54369069,NBN_FW,Fixed Wireless,Fixed Wireless Plus,,VIC,FALSE,FALSE,A491xxxxxx,57.07,27.99,68.03,53.8,35.9,65.34,5.93,2.65,7.74,4.99,3.06,6.35,37.11,33.23,46.08,37.11,33.72,45.38,0
2211117,NBN,Fibre to the Node,12/1 Mbps,Dodo & iPrimus,NSW,FALSE,FALSE,F823xxxxxx,12.76,7.81,12.85,12.77,12.69,12.84,0.99,0.49,1.08,0.98,0.94,1.06,10.11,9.64,20.79,11.46,9.73,20.65,0
55105325,NBN_FW,Fixed Wireless,25/5 Mbps,,NT + SA,FALSE,FALSE,A491xxxxxx,19.01,1.52,26.41,14.39,4.59,25.6,3.73,1.33,4.72,2.83,1.68,4.28,39.81,35.59,63.51,41.54,37.81,63.51,0
2211119,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,VIC,FALSE,FALSE,E0B9xxxxxx,734.34,64.02,872.57,717.15,409.13,857.32,47.36,42.2,47.52,47.34,47.08,47.46,17.9,17.21,38.46,20.41,17.24,36.92,1.17
1188401,NBN,Fibre to the Curb,100/40 Mbps,Aussie Broadband,NSW,FALSE,FALSE,E063xxxxxx,100.87,88.45,102.35,100.62,89.53,102.15,37.91,31.04,38.02,37.94,37.87,37.99,18.02,17.58,21.48,18.12,17.66,21.48,0.07
42617393,NBN,Fibre to the Curb,100/40 Mbps,Optus,VIC,FALSE,FALSE,7865xxxxxx,99.97,75.83,101.83,98.57,75.83,101.7,36.26,34.79,36.67,36.22,35.65,36.67,6.72,6.58,9.56,6.74,6.59,7.43,0.07
47734321,NBN,Fibre to the Curb,100/20 Mbps,Vodafone,VIC,FALSE,FALSE,F8CAxxxxxx,63.74,5.73,93.3,65.11,14.22,93.29,16.27,7.24,18.13,17.26,9.39,18.13,6.01,5.21,12.54,5.89,5.34,8.39,7.04
54369073,NBN,Fibre to the Node,100/40 Mbps,TPG,NSW,FALSE,FALSE,C471xxxxxx,96.1,41.09,97.65,94.66,41.09,97.62,37.69,34.22,37.99,37.68,37.48,37.77,8.31,5.86,15.92,8.58,6.02,15.92,0.17
2211123,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,NT + SA,FALSE,FALSE,4CEDxxxxxx,899.57,490.02,934.69,852.24,602.23,934.28,45.83,43.65,46.04,45.52,44.16,45.98,11.56,11.42,14.95,11.95,11.49,14.95,0
39486517,NBN,Fibre to the Premises,250/25 Mbps,Vodafone,QLD,FALSE,TRUE,D435xxxxxx,93.18,91.04,93.52,93.19,92.62,93.52,23.59,18.52,23.69,23.57,23.37,23.64,4.74,4.68,31.33,4.91,4.7,8.47,0.03
54368821,NBN,HFC,50/20 Mbps,Exetel,VIC,FALSE,FALSE,3C7Cxxxxxx,53.81,6.51,54.47,52.05,6.51,54.39,18.26,10.62,18.63,18.23,16.99,18.55,10.98,8.3,97.86,18.85,8.62,97.86,0.23
6986293,NBN,Fibre to the Premises,100/40 Mbps,Optus,NSW,FALSE,FALSE,6003xxxxxx,107.15,80.61,109.84,105.78,80.61,109.3,37.83,29.06,37.98,37.81,37.04,37.94,2.84,2.32,7.97,3,2.36,7.97,0
1029431,NBN,Fibre to the Premises,50/20 Mbps,Optus,NSW,FALSE,FALSE,34DAxxxxxx,53.76,42.84,54.64,53.15,42.84,54.64,18.83,18.39,18.91,18.79,18.51,18.89,3.8,2.4,63.69,5.96,2.98,63.69,0.03
1188409,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,VIC,TRUE,FALSE,3431xxxxxx,38.99,29.23,40.5,39.04,35.7,40.49,10.76,9.51,11.58,10.83,10.53,11.52,6.79,6.62,13.52,7.17,6.66,13.52,0.03
24029241,NBN,HFC,100/40 Mbps,Superloop,QLD,FALSE,FALSE,E0CBxxxxxx,103.7,40.39,107.22,99.49,40.39,106.94,37.66,27.52,38.23,37.11,27.52,37.94,8.75,7.63,60.31,12.69,7.96,60.31,0
2211129,NBN,Fibre to the Premises,250/25 Mbps,iiNet,VIC,FALSE,FALSE,3810xxxxxx,237.53,88.14,269.79,216.29,94.47,269.37,2.69,1.37,2.77,2.67,2.06,2.76,20.33,18.99,22.66,20.45,20.07,22.66,0
47445049,NBN,Fibre to the Node,50/20 Mbps,Telstra,NSW,FALSE,FALSE,B8EExxxxxx,54.55,37.21,55.52,54.34,43.33,55.52,18.96,18.67,19.15,18.95,18.67,19.09,14.77,13.26,22.78,14.43,13.26,22.02,0
2975293,NBN,HFC,250/25 Mbps,Optus,NSW,FALSE,FALSE,10D7xxxxxx,272.33,246.95,279.39,271.43,246.95,279.39,23.27,21.06,24.06,23.15,21.37,23.92,9.22,8.1,24,9.6,8.84,11.56,0.03
3898941,NBN,Fibre to the Node,50/20 Mbps,Optus,QLD,TRUE,FALSE,346Bxxxxxx,40.03,29.17,41.21,39.86,29.17,40.42,9.01,8.01,9.82,8.97,8.26,9.56,22.16,20.98,22.97,22.16,21,22.53,0.03
54645309,NBN,Fibre to the Curb,50/20 Mbps,Telstra,QLD,FALSE,FALSE,D435xxxxxx,54.42,45.8,55.27,54.39,50.45,55.27,18.96,18.4,19.13,18.96,18.83,19.03,14.92,14.76,70.33,14.95,14.79,15.95,0.5
2219325,NBN,Fibre to the Node,50/20 Mbps,MyRepublic,NSW,FALSE,FALSE,E0B9xxxxxx,54.41,47.54,54.92,54.26,47.54,54.79,15.43,14.82,15.88,15.45,15.03,15.74,15.11,14.29,29.05,16.21,14.68,28.19,0.03
54368833,NBN,Fibre to the Node,50/20 Mbps,Exetel,QLD,FALSE,FALSE,18F1xxxxxx,54.08,23.24,54.49,52.99,23.24,54.44,13.71,13.09,14.24,13.68,13.15,14.18,8.1,7.37,60.26,9.65,7.56,60.26,1.03
55105345,NBN,Fibre to the Node,50/20 Mbps,Dodo & iPrimus,NT + SA,FALSE,FALSE,18F1xxxxxx,52.24,28.28,53.47,51.77,41.31,53.26,17.37,16.77,17.7,17.24,16.81,17.57,18.76,17.28,28.06,19.65,17.48,28.06,0
1027908,NBN,Fibre to the Node,25/5 Mbps,Dodo & iPrimus,VIC,TRUE,FALSE,283Bxxxxxx,19.41,12.21,20.55,18.95,12.21,20.53,2.96,1.96,3.09,2.95,2.63,3.05,9.19,7.4,37.97,10.77,7.58,19.13,0.27
36508997,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,NSW,FALSE,FALSE,3C37xxxxxx,52.73,37.67,54.52,51.69,37.67,54.4,17.44,8.17,19.1,17.51,14.33,19,8.39,7.61,16.24,9.3,7.62,14.84,0.37
50570821,NBN,Fibre to the Curb,50/20 Mbps,Superloop,NSW,FALSE,FALSE,1013xxxxxx,51.74,27.39,53.19,51.49,40.47,53.19,18.92,16.77,19.04,18.8,16.77,19.01,6.44,5,44.63,9.97,5.31,35.02,0.03
2211141,NBN,Fibre to the Node,100/40 Mbps,Aussie Broadband,TAS,TRUE,FALSE,C80Exxxxxx,88.1,47.58,92.69,86.92,47.58,91.35,32.24,20.22,33.25,32.2,29.99,33.17,16.85,15.42,25.28,17.37,15.79,23.71,0
1188423,NBN,Fibre to the Premises,100/40 Mbps,TPG,VIC,FALSE,FALSE,909Axxxxxx,107.06,96.54,107.93,106.35,96.54,107.89,36.1,35.11,36.27,36.08,35.78,36.19,2.51,2.35,3.03,2.56,2.45,3.03,0.13
5071945,NBN,Fibre to the Premises,100/40 Mbps,TPG,NSW,FALSE,FALSE,D45Dxxxxxx,104.43,74.58,108.97,103.02,74.58,108.95,37.58,34.32,37.76,37.55,36.42,37.73,2.15,2.03,3.8,2.19,2.07,3.32,0
36208713,NBN,Fibre to the Premises,50/20 Mbps,Dodo & iPrimus,NSW,FALSE,FALSE,B808xxxxxx,52.69,44.71,53.36,51.96,44.71,53.33,18.82,18.34,18.88,18.81,18.68,18.87,4.36,3.93,19.68,6.19,3.98,15.8,0
6986569,NBN,Fibre to the Premises,50/20 Mbps,Exetel,QLD,FALSE,FALSE,ECF0xxxxxx,53.9,25.39,54.62,53.07,25.39,54.62,18.85,15.32,18.91,18.75,15.32,18.9,2.17,1.77,62.51,4.26,1.89,62.51,1.23
24029257,NBN,Fibre to the Node,100/40 Mbps,Dodo & iPrimus,WA,TRUE,FALSE,0802xxxxxx,87.69,82.44,88.54,87.49,82.44,88.5,37.73,37.26,37.8,37.7,37.26,37.78,12.03,11.31,38.48,16.52,11.37,38.48,0.03
4329549,NBN,Fibre to the Node,100/40 Mbps,MyRepublic,QLD,FALSE,FALSE,2C4Dxxxxxx,91.65,79.94,93.47,91.22,82.05,92.33,37.88,35.55,38.03,37.75,35.55,38.01,20.68,19.29,22.07,20.74,20.55,22.07,0
54368845,NBN,Fibre to the Curb,100/40 Mbps,Aussie Broadband,QLD,FALSE,FALSE,BC0Fxxxxxx,101.46,80.7,102.18,100.81,80.7,102.18,37.91,33.95,37.99,37.88,37.28,37.97,6.66,6.6,16.57,7.04,6.63,16.57,0
